PID,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,reviewq1,reviewq2,reviewq3,reviewq4
A11593703,111,1,1,1,1,0,0.25,1,1,1,1,1,0.8,0.8,0,1
A10566954,112,1,1,0.25,0.75,1,1,1,1,1,1,1,1,1,1,0.833333333
A10889904,113,0.5,1,1,1,1,1,0.75,1,0.6,1,1,1,1,0.6,0
A10564887,114,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,0.666666667
A10594625,115,1,1,1,0.75,1,0.75,0.5,0.75,0,1,0,0.8,1,0.8,0.666666667
A09254543,116,0.83,1,0.75,0.5,1,1,0.75,1,1,1,1,1,1,1,1
A11159425,117,1,0,1,0.75,1,1,1,1,0.8,1,1,0.8,1,0.8,1
A97019723,118,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.5
A11035259,119,1,1,1,1,1,0.75,1,1,1,1,1,0.8,0.8,1,0.5
A10562373,120,0.83,1,1,1,1,0.5,0.5,0.75,1,1,1,1,1,0.8,1
A10626785,121,1,1,1,1,0.75,0.75,0.5,1,0.8,1,1,1,1,1,1
A11165126,122,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.6,0.833333333
A08874081,123,1,1,1,1,1,0.75,0.5,1,1,1,1,0.8,1,1,1
A11750751,124,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.8,0.833333333
A11028414,125,1,1,1,1,1,1,1,1,0.8,1,0,0.8,0.8,1,0.666666667
A08497453,126,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.666666667
A10009633,127,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,0.666666667
A97028480,128,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0,0
A11478939,129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A11590925,130,1,1,0.75,1,1,0.75,0.5,1,1,1,0.75,1,0.8,0.8,0.666666667
A10095929,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
A99407426,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333
A10297068,133,1,1,1,1,1,0.75,0.5,1,0.8,1,1,1,1,0.2,0
A11375176,134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333
A11049820,135,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,0.333333333
A99080055,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A99132038,137,1,1,1,1,1,1,0.75,1,1,1,1,1,0.8,0.6,0.666666667
A07614106,138,1,1,1,1,1,0.75,0.75,1,1,1,1,0,1,0.6,1
A10764521,139,1,1,1,1,1,0.75,1,1,0.8,1,1,1,1,1,0.666666667
A11313263,140,1,1,0.25,1,1,0,1,1,1,1,0.75,0.8,1,1,0.666666667
A11549100,141,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.833333333
A99103256,142,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,1
A10631470,143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A97064470,144,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0,0.666666667
A10662860,145,1,1,1,1,1,1,1,1,0.8,1,1,1,0.8,1,0.833333333
A99037641,146,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0
A10808844,147,1,1,1,1,1,1,0.75,1,1,1,1,1,0.6,1,1
A11052076,148,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1
A97031723,149,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.666666667
A99055616,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A10063095,151,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.833333333
A09934973,152,1,1,0.75,1,1,1,0.5,1,1,1,1,0.6,1,0.6,0.833333333
A08929207,153,1,1,0.75,1,1,1,1,0.75,1,1,1,0,1,1,0.666666667
A09260518,154,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A09328455,155,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
A09396828,156,1,1,0.75,1,1,1,0.75,1,1,1,1,0,0,0.8,0.833333333
A09489698,157,1,0.75,0.75,0.5,0.5,0.75,0.25,0,1,1,1,0,0,0,0
A09594780,158,1,1,1,1,1,0.75,0.75,1,1,1,1,0,0.6,0.8,0.666666667
A10112043,159,1,1,1,1,1,1,1,1,1,1,1,0,1,0.8,0
A10791638,160,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.833333333
A10831776,161,1,1,1,0.75,1,1,0.75,0.75,1,1,1,0.6,0.8,0.4,0.5
A10858862,162,1,1,1,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.8,0.333333333
A11161611,163,1,1,1,1,1,1,0.5,1,1,1,1,0,0.8,0.6,0.5
A11171386,164,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.8,0.5
A11450627,165,0.83,1,1,0.75,1,1,1,1,1,1,1,0,0.6,1,0.833333333
A11454036,166,0.83,1,1,1,1,1,1,1,1,1,1,0,0.8,1,0.833333333
A99405998,167,1,1,1,1,1,1,1,0.75,0.8,1,1,0,0.8,1,0.666666667
A99426353,168,0,1,0.75,0.5,0.75,0,1,1,0.8,0,0,0,0.2,0.6,0.5
