pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,reviewq1,reviewq2,reviewq3,reviewq4
A12333746,52,1,1,1,0,1,1,0.75,1,0,1,0,1,0,0.833333333,0.2
A12210298,53,1,1,1,1,0,1,1,1,1,1,1,0.6,1,0.666666667,0.4
A12068003,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
A12144782,55,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333,1
A11911408,56,0.86,1,0.75,1,0,0.5,1,1,0.75,1,1,0.6,1,0.833333333,1
A11743170,57,1,1,1,1,1,0.75,0.75,1,1,1,0.75,0.4,1,0.5,0.6
A11951917,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,0.8
A12447590,59,1,0.33,1,1,0,1,1,0.5,1,1,1,1,1,0.833333333,0.8
A91049358,60,1,1,0,1,1,1,1,1,1,0.75,1,1,1,1,1
A91145222,61,1,1,1,1,1,1,1,1,1,1,0,1,1,0.833333333,0.6
A11450244,62,1,1,1,1,1,0.75,0.75,0.75,0.75,1,0,0.8,1,0.833333333,0.4
A10177369,63,1,1,1,0.75,0,1,1,0.75,1,0,0.75,1,1,0.833333333,0.4
A12211889,64,1,0,1,1,1,1,0.5,0.75,1,1,1,0.6,1,1,0.6
A11444731,65,1,1,1,1,0,0.75,1,1,1,0,1,1,0.75,1,1
A09980657,66,0,1,1,1,1,0.75,0,1,0,0,1,0.8,0,1,0.6
A99037323,67,0.86,1,1,1,1,0,0.75,0.75,1,1,1,0.6,0.75,0.166666667,0
A12465903,68,0.86,1,1,0.75,0,0,0,0.5,0,0.5,0.75,0.8,0.5,0.833333333,0.2
A10673263,69,0.86,1,1,1,1,0.75,0.75,1,0.75,1,0,1,0.75,0.833333333,1
A99019145,70,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0
A12450691,71,1,1,1,1,1,0,0.5,1,1,1,1,0.8,0.75,0,0.4
A11656312,72,1,1,1,1,1,1,0.75,1,1,1,0,1,1,0.833333333,1
A11953426,73,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1
A11409180,74,1,1,1,1,1,0.75,1,1,1,1,0.75,0.8,1,1,0.4
A10690980,75,0.86,1,0,0,1,0.75,0.75,0,1,0.75,0.75,1,1,0.666666667,0.2
A11713681,76,1,1,1,1,1,1,0.75,1,1,0.75,1,0.8,0.75,0.5,0.8
A10858223,77,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,0.6
A12023194,78,1,1,1,1,0,1,1,1,1,1,1,1,0.5,0.833333333,0.8
A11225693,79,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.8
A10817699,80,1,1,1,0.75,1,1,1,1,1,1,1,0.8,1,0.833333333,0.4
A11610263,81,0.86,1,1,1,1,1,0.5,1,1,1,1,0.4,1,0.833333333,0.6
A12066681,82,1,0.67,1,1,1,1,1,1,1,1,1,1,1,0,0.6
A12211384,83,1,1,1,1,1,0.75,1,1,1,1,1,0.8,1,0.833333333,0.8
A11430272,84,1,1,1,1,1,1,1,1,0,1,1,0.8,1,0.833333333,0.8
A12336636,85,1,1,0,1,1,1,1,1,1,1,0,0,0.75,0,0
A12444496,86,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.8
A12489635,87,1,1,0.75,0.75,1,0,1,0,1,1,1,1,1,1,0.8
A99120097,88,0.71,1,1,1,1,1,1,1,1,1,0.5,0.4,1,0.666666667,0.6
A99054074,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
A09593727,90,0.57,1,1,1,0,0.5,1,1,0.5,1,0.75,0.8,1,0.833333333,0.4
A12334212,91,0.86,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1
A12316936,92,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.666666667,0.8
A91105915,93,0.71,1,1,0.75,1,0.5,0.75,1,0.75,1,0.75,1,1,1,0.8
A11589080,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
A99092554,95,1,1,1,1,1,1,0.75,0.75,1,0,0.5,0.8,0.75,0.833333333,0.8
A98100000,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A12319704,97,0.86,1,1,0.75,1,1,1,1,1,1,1,0.8,0.25,0.5,0.8
A12045952,98,1,1,1,0.75,1,1,1,1,1,1,0,1,1,0.833333333,0.6
A10738360,99,1,1,1,1,1,1,1,1,1,1,1,0,1,0.833333333,0.6
A10565474,100,0.71,0.67,1,0,1,0.75,0.75,0.75,1,1,0.25,1,0.75,1,0.6
A12174404,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A12186153,102,1,1,1,1,1,1,1,1,1,0.75,1,0.6,0,1,0.2
A12251498,103,1,1,1,1,1,1,1,0.75,1,1,1,0.8,1,1,0
A99086018,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
A11243078,105,0.86,1,0,0.75,1,0.5,1,1,1,1,1,0.4,1,0.833333333,0.6
A11317262,106,1,1,1,1,1,0.75,1,1,0.75,0,0,1,1,0.833333333,0.8
A99007889,107,1,1,1,1,1,1,1,1,1,0,0.5,0.8,0,0.833333333,0.4
A12208009,108,1,1,1,1,1,1,1,1,1,1,0,0.8,0.25,0,0.6
A91112629,109,0.71,1,1,1,1,1,1,1,1,1,1,0.6,1,1,0
A11662369,110,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.666666667,0.6
A91085795,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6
A11731118,112,1,1,1,1,1,0.75,1,1,1,1,1,0.6,1,0.833333333,0.6
A11315637,113,1,1,1,1,1,0.75,1,1,1,1,0.75,1,0.75,0.833333333,0.4
A11608741,114,0.86,1,1,1,1,0,1,0,0,1,0.75,0,1,1,0
A10653629,115,1,1,1,1,1,0.75,1,1,1,1,0.75,1,1,0.833333333,0.2
A98067961,116,0.86,1,1,1,1,1,0,1,1,1,0.75,0,0.25,0,0.2
A99056989,117,1,1,1,1,1,0.75,0.75,1,0.75,1,1,1,0.75,1,0
A12371293,118,0.86,1,1,1,1,0.75,1,1,1,1,1,0.8,1,0.833333333,0.8
A11843152,119,1,1,0,0.5,1,1,1,1,1,0.5,0.5,0,0,0.833333333,1
A11625894,120,1,1,0,1,1,0.75,1,1,1,1,1,0.8,1,1,0.8
A12363748,121,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,0.4
A11463602,122,1,1,0,1,1,1,1,1,0,0.75,0.75,1,0.75,1,0.6
A11937383,123,1,1,1,1,1,0.75,1,1,1,0.75,0,0.6,0,0,0
A10621971,124,0.57,0.33,1,1,0.75,0.5,0.75,0.75,1,0,1,0.6,0.25,0.666666667,0.4
A12349614,125,0,1,1,1,1,0.5,1,1,1,1,1,0.6,0.75,1,1
A12318209,126,0.86,1,1,1,1,0.75,1,1,1,1,1,1,1,0.833333333,0.6
A11143486,127,1,1,0,1,1,1,1,1,1,1,1,1,1,0.833333333,0.8
A12489537,128,0.86,1,1,1,0.5,0.75,0.75,0.75,0.75,1,0.75,0.6,0.25,1,0.4
A12479384,129,0.71,1,1,1,0.75,1,1,1,1,1,0.75,0.2,0.75,1,0.4
A11506363,130,1,1,1,1,1,1,0.75,0.75,1,1,1,0,0.75,0.5,0.2
A11863454,131,1,1,1,1,1,1,1,0,1,1,1,1,1,0.833333333,0.6
A11299307,132,1,1,1,1,1,1,1,1,0,1,1,0.8,1,0.833333333,0.8
A11743217,133,0.71,1,0.75,0,1,1,1,1,1,1,1,0.6,0.75,0.833333333,0.6
A12418009,134,1,1,0,1,1,0.5,0,1,0,0,1,0,0,0,0
A10773459,135,0.71,1,1,1,0.75,0.75,1,1,1,1,0.75,1,1,0.833333333,0.6
A11513296,136,1,1,1,1,1,1,0,0.5,1,1,0.75,0.6,0.75,0.666666667,0.4
A10776267,137,1,1,1,1,1,1,1,1,1,1,1,0.8,0.75,1,0.6
A12175183,138,0.86,0.67,1,0,0,0.5,1,1,1,1,1,0.8,0.75,1,0.8
A11433522,139,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.6
A09635628,140,1,1,1,1,1,0.5,0.75,1,1,1,1,0.8,1,0.833333333,0.6
A12009049,141,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333,0
A99077299,142,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1
A11424354,143,1,1,1,1,1,1,1,1,1,1,1,0.8,0.75,1,0.4
A99003696,144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A11221815,145,0.86,1,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,1,0.75,0.666666667,0.6
A50055399,146,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.6
A11900976,147,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,0
A10639579,148,0.86,1,1,0.75,1,0.75,1,1,1,1,0,1,1,0.666666667,0.8
A99076487,149,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.5,0.8
A10181274,150,0.86,1,1,0.75,0.75,0.75,1,0.75,1,1,0.75,0.8,0,0.5,0.8
A12491480,151,1,1,1,1,1,1,1,1,1,1,1,0.4,0.75,0.833333333,0.6
A11908353,152,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.666666667,1
A11330308,153,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,0.6
A91108555,154,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.6
A91008472,155,1,1,1,1,1,0.75,1,1,1,0.75,0,0.8,1,1,0.6
A12327608,156,1,1,1,1,1,1,1,1,1,1,1,0.6,0.75,0.833333333,0
A12010610,157,0.86,1,0.5,1,0,1,1,0,1,1,1,0.8,1,1,0.6
A99076232,158,1,1,1,1,1,1,1,1,1,1,1,0.8,0,0,1
A99056668,159,1,1,1,1,1,1,0.75,1,1,0.75,1,0,0.5,0.5,0.2
A99088201,160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A91046735,161,1,1,1,1,1,1,0,1,1,1,1,0.8,1,1,0.8
A12199149,162,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0.2
A12468923,163,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.833333333,0.8
A99110780,164,1,1,1,1,1,0.75,1,1,1,1,1,0.6,0.5,0.5,0.6
A12112599,165,1,1,1,0.75,1,1,1,1,1,1,1,0.8,0.75,0.833333333,0.6
A11969225,166,0.86,1,1,0.75,1,0.75,1,0,0.75,1,0.75,1,0.5,0.666666667,0.6
A11650175,167,1,1,0,1,1,0.75,1,1,1,1,1,0.8,0,0,0
A10628044,168,0.71,1,1,1,1,0.5,1,0,1,1,0,1,1,0.833333333,0.8
A11677584,169,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.833333333,0.8
A10917852,170,0,1,1,0.5,1,0,1,1,1,1,0.75,0,0,0,0.2
A11450728,171,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1
A12211465,172,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333,0.6
A11394812,173,1,1,1,1,1,0.75,0,1,1,0.5,1,1,0.75,0.666666667,0.8
A11362206,174,0.57,1,0,1,0,1,1,0.5,1,1,0,0,0,0.833333333,0.2
A12116868,175,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.833333333,0.8
