anid,remote,midterm1,midterm2
98,#8E5BF520,0.85,0.772727273
99,#85A77D5F,0.775,0.772727273
100,#8E1B37A2,0.5,0.613636364
101,#8EE1FD92,1,0.886363636
102,#91707A9B,0.9,0.931818182
103,#8EDE1040,0.85,0.772727273
104,#82FDD8A7,0.75,0.75
105,#8E5302DF,0.9,0.772727273
106,#8E122EB2,0.575,0.795454545
107,#8E720FF3,0.875,0.931818182
108,#84A8F9D5,0.75,0.886363636
109,#8F7F9565,0.85,0.704545455
110,#8FA50A20,0.875,0.840909091
111,#857746B4,0.75,0.681818182
112,#84BB5867,0.975,0.840909091
113,#8DA8BC99,0.75,0.75
114,#85C4EBAA,0.8,0.659090909
115,#97C893CC,0.95,0.954545455
116,#8E17D841,0.85,0.659090909
117,#8E58C81E,1,0.909090909
118,#1C4B7225,0.775,0.727272727
119,"['#8FB10739', '#8226DF7B']",0.675,0.704545455
120,#8ACDC186,0.975,0.795454545
121,#8444C000,0.975,0.704545455
122,#8951D008,0.85,0.954545455
123,#907E9876,0.95,0.977272727
124,#84B7C0F3,0.9,0.681818182
125,#8E09FA7D,0.85,0.75
126,#974C13C8,0.825,0.681818182
127,#8E0BF075,0.9,0.886363636
128,#8E395EE9,0.975,0.977272727
129,#8610C452,0.7,0.613636364
130,#982EA315,0.9,0.840909091
131,#84FEC9B3,0.9,0.954545455
132,#8EC8CB8D,1,0.863636364
133,#96B30C29,0.575,0.636363636
134,#959D0F07,0.575,0.454545455
135,#8F9A8297,0.875,0.931818182
136,#855904D8,0.675,0.590909091
137,#857827DA,0.85,0.75
138,"['#84339324', '#043393A4']",0.375,0.545454545
139,#82778E7B,0.6,0.409090909
140,#95A9625E,0.6,0.590909091
141,#8AD7530E,0.775,0.772727273
142,#86277ADB,0.95,0.840909091
143,#899F9E88,0.825,0.568181818
144,#8E6C17F5,0.85,0.818181818
145,#85C7D290,0.85,0.909090909
146,#860331B4,0.75,0.568181818
147,#85028D0A,0.85,0.659090909
148,#863CCE74,0.775,0.5
149,#84A34760,0.5,0.477272727
150,#8E18F462,0.95,0.954545455
151,#829D7966,0.3,0.636363636
152,#8E9D1506,0.95,0.818181818
153,#8F76FA03,0.75,0.727272727
154,#85F32254,0.85,0.954545455
155,#8E778871,0.6,0.818181818
156,#9830B61E,0.825,0.772727273
157,#85E52646,0.9,0.840909091
158,#82527AAA,0.55,0.545454545
159,#858D727A,0.9,0.886363636
160,#92A15162,0.925,0.818181818
161,"['#8561997D', '#056199FD']",0.9875,0.954545455
162,#8E136FF2,0.65,0.727272727
163,#8ECFF3B2,0.95,0.863636364
164,#8606AA2A,0.875,0.704545455
165,#899C0217,0.45,0.386363636
166,#84D14712,0.625,0.659090909
167,#86187CE2,0.7,0.727272727
168,#847B2DD2,0.775,0.659090909
169,#383B1C1F,0.6,0.795454545
170,#84756E9F,0.775,0.795454545
171,#844BAE61,0.95,0.909090909
172,#8641BB7C,0.525,0.727272727
173,#8E6C2FCD,0.875,0.840909091
174,#3DE9EE3A,0.85,0.681818182
175,#85670FED,0.925,0.863636364
176,#8E1361FC,1,0.931818182
177,#95A0D2E7,0.575,0.659090909
178,#83BCDDE2,0.725,0.75
179,#9609FF60,0.425,0.590909091
180,#1BFD9D7B,0.8,0.659090909
181,#898B4143,0.525,0.659090909
182,#8E6D3CDF,0.85,0.75
183,#912640F7,0.9,0.818181818
184,#8557A577,0.775,0.727272727
185,#83C1FCBE,0.875,0.727272727
186,#83011B99,0.425,0.340909091
187,#842F05AE,0.85,0.590909091
188,#83B2F6C7,0.825,0.772727273
189,#8E82EEE2,0.925,0.840909091
190,#8EB8DCEA,1,0.954545455
