remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l01q11,l01q12,l01q13,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l02q14,l02q15,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l03q11,l03q12,l03q13,l03q14,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l04q13,l04q14,l04q15,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l05q11,l05q12,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l08q1,l08q2,l08q3,l08q4,l08q5,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l09q10,l09q11,l09q12,l09q13,l10q1,l10q2,l10q3,l10q4,l10q5,l10q6,l10q7,l10q8,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l11q9,l11q10,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l12q9,l12q10,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l13q8,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l14q8,l14q9,l14q10,l14q11,l14q12
#840C8E06,71,A10138755,53,2,2,1,1,1,1,3,2,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,5,5,1,1,2,4,4,4,NA,1,3,3,1,1,4,5,2,2,4,NA,5,NA,3,2,1,2,NA,1,2,4,4,2,2,1,1,2,2,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,5,2,3,2,2,3,1,1,NA,3,2,2,3,NA,2,2,1,1,2,5,1,1,1,1,4,4,3,3,2,5,2,5,NA,4,4,4,4,3,5,5,3,3,2,2,4,2,2,3,3,3,2,2,4,3,4,3,2,NA,3,3,4,5,2,3,2,2
#8412B325,99,A10480225,4,2,2,1,1,2,3,2,2,3,3,1,3,4,1,1,3,3,4,4,2,5,3,2,2,3,4,4,4,3,1,5,5,3,4,1,1,5,4,4,4,NA,1,1,3,3,1,3,2,5,5,4,4,3,5,2,2,2,2,4,1,5,4,4,2,3,1,1,4,3,3,1,NA,5,1,4,5,2,NA,3,3,4,4,2,3,3,2,2,4,4,3,4,3,4,4,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,NA,3,NA,4,2,4,3,2,3,1,3,3,4,2,3,3,1,1,1,5,5,3,NA,2,2,4,3,1,1,5,5,4,1,1,1
#8421A207,84,A09540707,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,2,4,5,5,5,2,4,4,NA,3,3,NA,5,1,1,1,2,1,5,4,4,NA,1,3,3,1,1,2,2,2,NA,4,4,1,5,2,2,1,2,2,2,2,4,4,4,4,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#842E872D,85.5,A10566076,28,2,2,1,1,3,3,2,2,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,4,4,3,2,4,4,1,1,NA,1,3,3,1,1,4,2,3,2,4,4,3,5,NA,NA,NA,1,2,1,1,NA,1,1,4,3,1,3,2,4,2,3,5,2,2,3,2,2,4,3,2,2,2,2,3,2,4,NA,1,2,1,3,3,3,2,2,3,3,1,5,2,4,4,4,2,2,3,2,1,1,1,3,1,1,4,4,5,4,4,3,3,3,2,3,2,4,3,3,3,1,2,2,3,4,3,3,4,4,3,3,3,3,4,4,3,3,1,1
#84370AB9,79.5,A10080142,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,NA,5,NA,1,3,1,2,2,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,NA,2,2,3,3,3,4,3,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,3,3,2,1,3,NA,NA,NA,2,4,3,4,3,3,3,2,2,1,4,4,5,NA,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,3,2,1,1,NA
#846DB059,98.5,A10232347,9,2,NA,1,1,3,3,2,2,5,3,2,3,3,NA,NA,3,3,4,4,3,3,2,2,1,4,4,4,4,3,3,5,5,4,4,1,1,1,5,4,NA,4,5,3,3,1,1,2,NA,2,2,4,4,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#84848585,89,A10568175,25,2,2,1,1,2,3,2,2,3,3,2,3,3,1,1,3,3,4,4,3,3,2,2,1,5,4,4,4,3,3,5,5,4,4,1,1,2,4,1,4,NA,5,2,3,1,1,4,4,3,3,4,4,4,4,2,NA,1,2,2,5,2,2,4,4,4,1,1,5,5,2,2,NA,5,1,3,3,2,2,3,3,1,3,2,2,3,2,2,5,2,2,2,3,3,3,2,2,2,2,1,1,3,5,4,4,3,NA,2,2,1,1,1,NA,5,5,4,2,5,5,4,3,2,2,3,3,1,2,3,3,4,3,1,3,4,4,3,3,2,2,3,3,1,NA,3,3,2,NA,2,1
#84959485,51,A11051343,76,1,2,2,1,3,3,2,2,3,3,1,3,3,3,1,3,3,5,4,3,3,3,3,1,3,2,4,4,5,3,4,4,2,4,4,3,1,4,4,4,NA,1,4,3,4,1,2,1,3,2,4,4,2,3,2,2,1,2,2,2,1,1,1,2,4,1,3,1,1,2,2,4,3,2,2,3,2,2,1,2,3,5,3,2,3,2,2,3,3,1,1,2,2,NA,2,2,3,3,2,2,3,4,4,4,1,1,4,4,2,2,4,1,5,5,NA,3,3,NA,3,3,2,3,2,3,1,3,4,4,2,2,3,1,3,3,1,3,1,2,3,3,1,1,4,3,2,4,2,2
#84E83B57,81.5,A97031723,34,NA,NA,1,1,2,3,5,NA,2,3,2,3,3,1,2,3,3,4,4,2,2,2,2,2,1,3,4,4,5,5,4,4,4,2,4,4,5,5,2,4,NA,1,3,3,2,2,4,4,4,2,4,4,4,4,3,3,3,2,2,1,1,2,4,3,2,4,4,3,3,1,1,5,3,1,2,2,2,2,5,1,4,4,1,2,2,2,NA,NA,NA,1,1,2,NA,2,2,1,2,3,4,4,5,5,4,4,3,3,2,2,1,3,1,1,4,4,5,4,2,5,NA,NA,NA,4,4,4,2,2,2,2,NA,NA,2,2,4,4,2,3,NA,NA,2,2,1,1,5,5,3,3,4,4
#84E9335E,87.5,A98420970,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,3,3,2,2,1,3,4,NA,2,NA,NA,1,NA,3,3,1,1,1,1,4,4,NA,NA,1,4,2,2,2,2,3,NA,4,4,5,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,3,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2,NA,2,2,NA,NA,NA,NA,4,2,2,3,NA,3,NA,NA,NA,2,3,3,3,3,3,NA,NA,NA,NA,2,2,2,3,3,3,2,3
#8532E651,89,A10604273,21,3,2,2,2,3,3,2,NA,3,3,1,5,5,5,5,1,3,2,5,3,3,1,2,5,3,NA,1,4,3,NA,4,4,1,1,1,1,4,4,1,4,NA,1,1,3,1,1,2,2,4,NA,4,4,3,5,1,2,1,1,4,3,1,2,NA,2,2,1,2,3,4,1,2,4,4,2,2,2,2,2,3,3,4,4,3,2,3,2,2,NA,NA,3,3,3,4,4,2,2,1,4,1,5,5,4,4,4,3,2,3,3,1,1,2,2,5,5,1,4,5,5,NA,2,1,3,3,NA,3,2,2,3,NA,NA,1,2,2,2,3,2,3,4,4,4,1,1,5,5,NA,4,2,2
#853D41F9,93,A98080960,15,2,2,4,4,3,3,2,2,3,3,1,3,3,5,5,3,1,5,5,4,4,1,1,2,4,2,4,4,3,3,5,4,1,1,3,3,5,NA,1,4,NA,1,3,3,1,1,2,2,2,2,4,4,4,3,2,2,1,2,2,4,4,4,4,3,3,5,5,4,4,2,2,3,4,3,NA,3,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,5,3,3,4,2,NA,NA,NA,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,NA,NA,3,3,2,1,1,2,4,4,1,1
#8552AD7A,51.5,A09778476,70,2,2,1,1,2,2,2,2,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,4,1,2,4,5,4,4,NA,1,5,3,1,1,2,2,2,2,4,4,4,5,2,2,2,2,2,4,3,2,4,1,4,4,2,2,2,1,1,NA,2,2,2,5,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,1,2,3,1,3,3,4,1,1,1,2,2,2,2,1,1,NA,2,2,1,1,2,2,2,2,1,2,5,3,5,5,4,3,3,3,1,1,2,4,2,3,NA,NA,NA,NA,NA,NA,2,3,2,2,3,3,3,2,1,1,2,2,3,2
#856EE10A,97.5,A09551351,12,2,2,1,1,3,3,1,2,1,3,1,3,3,3,5,3,3,1,4,5,3,2,2,1,4,4,4,4,2,NA,1,1,3,4,1,1,4,4,4,4,NA,1,5,3,1,2,3,2,2,2,4,4,5,5,2,2,1,NA,NA,4,2,1,1,3,4,1,1,2,2,2,2,5,4,2,2,2,2,2,4,3,2,3,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,4,4,3,3,3,3,3,2,NA,1,2,2,1,5,2,2,4,4,4,3,3,3,3,3,4,4,3,3,2,1,1,1,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#856FAF45,90.5,A10075946,13,1,2,1,4,3,3,3,2,2,1,1,4,3,NA,NA,NA,NA,NA,NA,5,NA,5,1,3,1,4,4,4,NA,NA,2,3,4,4,1,1,5,5,4,4,NA,4,5,4,1,1,2,2,2,2,4,4,4,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,NA,1,2,2,4,NA,3,3,3,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#857A5FA0,46.5,A97098366,83,2,2,1,1,3,3,2,2,3,3,1,5,3,NA,5,3,5,2,1,3,2,2,2,1,4,4,4,4,3,3,5,4,NA,4,1,1,3,4,3,4,NA,5,NA,NA,1,1,2,2,2,2,5,3,4,3,2,2,1,NA,3,1,5,3,4,3,NA,2,4,3,3,2,2,NA,NA,3,3,1,4,2,4,3,1,2,2,3,3,3,2,4,3,4,3,NA,4,NA,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,5,5,4,3,3,5,2,3,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,2,4,3,1,3,3
#8595EBFB,71.5,A11710988,45,2,2,1,NA,3,3,2,2,3,3,5,2,5,NA,NA,NA,3,4,4,3,3,2,5,5,1,1,4,4,5,5,1,4,1,4,1,1,1,5,4,4,NA,4,3,3,1,1,2,2,3,3,4,4,5,5,5,1,2,1,1,3,4,2,4,1,4,2,4,3,3,1,1,3,5,1,2,1,1,2,2,4,1,1,1,2,2,2,2,NA,NA,1,3,4,4,4,2,2,1,1,1,3,3,3,2,1,2,2,5,5,1,1,1,1,1,3,4,4,5,5,NA,3,3,3,1,3,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,3,5,1,4,1,2
#85A52B0B,86.5,A10579126,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,2,4,2,3,4,2,1,4,4,4,4,1,1,2,2,4,4,1,1,2,5,4,4,NA,1,5,5,1,1,2,2,2,2,4,3,5,5,2,2,1,2,2,4,2,1,3,4,4,2,1,2,2,2,2,5,5,3,2,3,2,2,3,3,5,5,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,2,2,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,4,4,4,4,4,2,3,3,3,3,2,4,3,3,1,1,2,2,3,3,NA,NA,4,4,3,3,1,NA,1,4,4,3,1,1
#85D9DC80,61.5,A09442344,63,2,2,3,1,3,3,2,2,2,2,2,3,3,1,1,2,5,5,5,2,5,2,1,1,3,1,3,4,1,1,1,1,1,1,1,1,4,4,3,4,NA,NA,5,3,1,1,4,2,3,3,4,4,4,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,2,2,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,NA,1,NA,1,1,2,1,NA,1,1,1,1,1,1,2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,4,1,2,2,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,3,1,3,5,5,1,1,NA,NA
#85F8DEA3,71.5,A10640444,49,2,2,2,1,3,3,3,3,3,3,1,4,5,3,2,4,4,1,2,3,3,2,2,3,4,4,4,4,3,3,1,5,2,1,1,1,4,5,5,4,NA,1,3,3,2,2,1,2,2,2,5,4,4,5,2,2,1,1,1,4,1,1,2,3,2,2,1,4,4,2,2,4,3,1,3,2,2,2,1,2,3,3,2,3,3,2,2,3,1,1,1,NA,3,3,2,2,3,3,5,5,1,1,2,4,1,1,1,4,3,3,4,4,3,3,5,3,2,5,4,3,4,3,1,3,2,1,1,2,2,1,3,2,2,2,2,3,1,2,3,3,1,1,3,3,3,3,3,1
#8612C551,62.5,A10994481,67,1,2,4,3,3,4,5,5,5,5,4,3,3,NA,NA,NA,NA,NA,NA,1,3,2,3,3,2,2,2,NA,2,1,1,1,1,4,1,NA,1,1,1,NA,1,NA,NA,1,2,1,4,4,4,4,3,4,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,1,3,1,1,2,1,2,1,3,2,1,1,1,1,NA,NA,NA,5,5,5,NA,3,3,2,3,3,4,1,2,1,1,2,2,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,3,3,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,1,1
#8614EE7C,100.5,A10582391,1,2,2,1,1,2,3,4,2,3,3,2,2,3,4,1,3,1,4,4,4,4,2,2,1,5,4,5,4,1,1,5,5,3,4,1,1,4,5,4,4,NA,4,5,3,2,1,2,2,3,3,4,4,5,5,2,2,3,2,4,2,2,4,NA,2,3,1,1,5,3,2,2,5,5,3,2,2,2,2,2,3,5,5,5,1,3,2,NA,5,5,3,4,4,4,4,2,2,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,5,NA,3,2,3,3,4,5,2,3,5,3,4,4,3,3,2,1,1,1,3,3,3,3,2,1,4,5,1,4,2,4,1,1,NA,1
#8633F540,89.5,A11030545,20,2,2,2,1,3,3,2,2,3,3,1,3,3,2,1,3,3,4,4,3,3,2,2,1,4,4,4,4,3,3,2,2,3,1,1,1,4,5,4,4,NA,1,4,3,1,1,2,1,2,2,4,4,5,5,4,2,2,2,2,1,1,4,4,3,4,4,1,3,1,3,2,3,4,3,3,2,3,3,3,NA,1,4,3,3,4,2,2,3,4,1,1,4,3,3,2,2,1,1,1,1,1,1,4,4,2,1,3,2,3,3,2,3,1,2,5,5,4,5,4,3,2,3,3,3,4,4,4,4,3,3,2,2,2,2,3,3,3,4,3,3,4,1,5,2,2,2,2,2
#863D4AF1,104.5,A09671948,2,2,NA,4,1,3,3,2,2,3,3,1,3,3,4,1,3,5,4,NA,3,3,4,2,1,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,1,2,4,4,4,4,3,5,5,5,1,4,NA,2,5,3,4,2,4,3,1,2,4,2,2,3,4,5,2,2,5,2,3,3,2,4,4,3,3,3,2,3,5,4,4,5,3,3,2,2,2,3,1,1,1,5,4,4,2,2,2,2,NA,1,1,1,5,NA,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,2,2,3,3,3,2,2,5,3,1,3,4,4,2,3,1,4
#88BC2410,48.5,A10982339,78,2,2,1,4,3,3,2,2,1,2,2,3,3,1,1,3,3,5,5,4,3,2,3,3,4,4,1,1,4,3,2,4,3,4,1,1,3,5,4,4,NA,4,2,2,2,2,2,2,4,4,4,4,2,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,2,2,1,3,3,4,4,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,1,3,2,1,2,4,1,1,1,1,2,2,2,2,3,3,3,2,1,1,4,4,4,3,3,3,2,2,2,2,2,2,3,3,2,2,1,1,2,2,2,2,3,3,4,1,2,4,2,2,2,4
#89031399,81,A09516441,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,2,NA,2,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,1,2,2,3,3,3,4,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,2,4,4,2,2,2,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,3,5,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
#8A0550DF,68.5,A10748304,55,2,2,3,3,3,3,3,3,3,3,2,3,3,5,4,3,5,1,4,1,3,1,2,5,5,2,4,4,3,3,5,5,5,4,1,1,4,1,3,4,NA,1,1,1,1,2,2,2,2,2,4,4,3,5,2,2,1,1,1,1,2,2,4,3,4,2,1,1,5,1,2,1,5,NA,2,5,NA,NA,NA,NA,NA,NA,2,3,NA,3,3,NA,NA,NA,1,3,3,3,3,3,3,3,2,2,3,3,1,4,1,4,3,3,4,2,1,2,1,3,4,1,5,1,NA,NA,1,1,2,2,4,1,1,2,1,1,2,2,2,2,3,3,2,4,3,3,1,1,2,2,1,1,2,2
#8A0979FA,82,A10791456,37,2,2,1,1,4,3,3,3,3,3,1,3,5,2,2,3,3,5,1,4,4,2,2,3,1,4,4,4,3,3,5,5,2,4,2,1,4,5,4,4,NA,1,3,3,2,2,5,5,2,2,4,4,4,4,2,2,1,1,1,1,1,2,2,1,2,1,1,4,3,3,3,3,3,2,2,2,3,3,1,2,2,3,3,3,3,2,2,1,1,2,2,3,3,3,1,1,4,4,3,2,4,2,4,4,2,2,2,2,2,2,2,4,1,4,3,3,5,5,4,3,1,2,4,4,3,1,3,3,2,1,2,2,1,5,2,4,2,2,3,3,1,1,3,3,2,4,3,1
#8B3550EE,96.5,A10879162,7,2,2,1,1,3,3,2,2,3,3,5,4,4,3,3,1,1,5,5,3,3,2,2,1,4,2,4,4,3,3,5,5,4,4,1,1,5,5,4,4,NA,NA,3,3,1,1,2,2,2,2,3,4,3,3,2,2,1,2,2,1,2,4,4,4,4,1,1,5,2,1,1,5,5,2,2,2,2,2,3,3,4,5,NA,NA,NA,NA,NA,1,2,2,NA,3,4,4,2,2,3,1,2,2,5,2,2,2,4,2,1,NA,NA,2,1,1,1,1,2,2,2,2,NA,NA,4,4,3,3,1,2,2,2,1,1,1,1,2,2,2,2,4,4,2,3,1,1,3,5,3,3,1,1
#8B9D5B4D,83,A10721577,32,2,2,1,1,2,3,3,3,1,3,2,3,3,2,3,3,NA,5,4,4,3,2,2,1,3,4,2,4,2,NA,2,2,2,4,4,NA,4,4,4,4,NA,4,5,5,1,1,2,2,4,2,4,3,2,3,2,2,1,2,2,2,2,3,1,NA,NA,NA,NA,NA,NA,2,2,5,5,2,2,3,2,2,3,3,2,3,1,3,3,2,NA,3,3,2,NA,3,3,3,2,2,1,5,1,5,4,4,1,4,4,NA,1,1,1,NA,1,2,1,1,4,4,4,4,4,3,3,3,2,3,3,4,3,3,1,1,3,2,4,4,1,3,2,4,3,3,3,3,1,1,4,NA,2,1
#8DABEACC,64.5,A11488135,62,1,2,3,3,3,3,5,5,3,3,2,2,3,NA,NA,NA,NA,NA,NA,1,3,2,3,3,3,2,2,NA,1,2,1,1,1,4,1,1,1,1,1,1,NA,NA,NA,1,2,4,4,3,1,2,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,1,1,1,2,2,2,3,2,2,3,2,3,4,3,NA,NA,NA,NA,3,3,NA,4,3,2,3,4,4,2,3,3,3,3,4,2,2,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,3,2,2,NA,NA,NA,NA,1,2,4,1,1,2,2,2
#8DCCD594,62.5,A10989448,77,2,2,4,1,1,5,4,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,2,4,1,3,1,3,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,2,3,2,2,4,4,4,4,3,3,NA,3,3,NA,NA,1,1,NA,NA,NA,3,3,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2,3,3,1,2,1,1,2,2,1,1,NA,3,1,2,3,NA,1,1,3,3,NA,2,NA,2
#8DCD0D4D,93.5,A10660812,16,3,2,1,1,2,3,2,2,3,3,1,3,3,1,1,3,5,4,NA,4,4,1,2,1,4,4,4,4,3,3,5,5,2,4,5,5,1,4,3,4,NA,1,5,3,1,1,2,2,4,4,4,4,5,5,3,2,1,4,4,5,5,4,4,4,4,1,1,4,5,2,NA,4,4,2,3,2,2,2,3,3,1,3,4,3,3,2,NA,3,5,3,4,3,3,3,2,2,3,3,1,1,5,5,1,1,3,2,1,2,2,3,1,1,2,5,2,5,5,5,NA,1,3,5,3,1,2,2,2,3,3,3,2,2,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8DD3742A,87,A98118620,22,2,NA,2,4,3,3,3,3,3,3,2,3,4,2,2,NA,3,4,NA,2,2,3,3,1,2,2,4,4,3,3,1,2,1,4,1,2,1,4,4,4,NA,4,5,5,4,1,2,1,2,2,4,NA,4,4,1,5,1,NA,2,4,4,3,3,3,3,2,2,1,1,2,1,NA,5,4,1,1,1,4,1,1,4,4,1,2,2,2,2,NA,1,2,2,2,2,NA,2,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,2,2,3,3,3,3,1,1,4,3,3,3,3,3
#8DF7B2C8,65.5,A10134729,69,2,2,3,1,1,3,5,2,1,3,1,3,3,NA,NA,NA,1,5,5,3,3,3,2,1,5,NA,4,4,2,3,1,1,3,3,1,1,4,4,1,4,NA,4,2,3,2,2,2,2,2,2,4,NA,3,3,2,2,1,2,2,2,5,3,4,1,4,3,3,4,4,2,2,2,2,2,3,5,NA,NA,NA,NA,NA,NA,2,2,3,2,2,NA,NA,1,1,NA,1,NA,1,2,3,NA,2,2,NA,NA,3,3,2,1,2,3,NA,NA,3,3,2,1,4,5,2,5,NA,NA,NA,NA,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,2
#8E13EB76,80.5,A11430796,29,2,2,1,1,2,2,2,2,3,3,1,3,3,1,1,3,3,4,4,3,3,2,2,1,2,4,4,4,3,3,2,2,2,4,2,2,4,3,1,1,NA,1,3,3,1,1,2,2,2,2,4,4,4,5,4,2,1,2,2,5,3,4,4,4,4,1,1,3,1,1,1,4,4,2,2,3,NA,NA,NA,NA,NA,NA,5,3,2,2,2,1,4,2,1,3,3,3,1,1,1,3,2,2,2,1,5,NA,3,2,NA,1,1,2,1,2,2,2,NA,2,5,4,1,3,3,3,4,4,1,4,4,3,NA,NA,NA,NA,2,2,NA,NA,4,4,2,3,1,1,5,1,4,4,2,2
#8E1944D3,51.5,A11741932,71,1,2,1,4,4,2,5,2,1,3,1,4,4,1,2,5,5,1,1,1,2,1,2,2,5,4,4,4,4,1,1,5,2,4,1,NA,2,2,4,4,NA,4,1,3,1,1,4,2,2,3,4,4,2,2,2,2,1,2,2,4,2,3,2,4,4,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,3,NA,NA,NA,NA,3,3,NA,3,2,3,3,4,4,3,3,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,1,1,2,2,NA,NA,NA,NA
#8E1A72E6,62,A11552168,72,2,2,3,2,2,3,2,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,4,1,1,3,3,3,3,NA,NA,4,4,3,2,4,3,1,3,3,3,2,4,3,3,3,2,2,3,1,3,4,3,3,3,4,3,3,2,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,2,2,3,2,3,2,2,5,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,3,2,3,3
