"anid","remote","a1quiz","midterm"
83,"#3CB928AD",6,7
84,"#3CB967E2",9,16.25
85,"#3CBC9E1E",9,14
86,"#3CBEA527",8,13
87,"#3CBFDC5F",7,5
88,"#3CC027DB",7,14.5
89,"#3CC0F30F",9,16
90,"#3CC0F509",7,13.75
91,"#3CC14FB2",7,7.25
92,"#3CC1F00D",8,14.5
93,"#3CC22ED0",8,8.5
94,"#3CC241BF",6,12.5
95,"#3CC39E61",5,1
96,"#3CC457AF",8,10.5
97,"#3CC45FA7",8,16.5
98,"#3CC4B048",8,12.5
99,"#3CC5936A",4,5.5
100,"#3CC629D3",9,7.5
101,"#3CC631CB",7,3.5
102,"#3CC6778D",8,14.5
103,"#3CC718E3",7,10.5
104,"#3CC747BC",10,17.5
105,"#3CC7956E",7,6
106,"#3CC7DA21",4,8.5
107,"#3CC7DC27",6,9.5
108,"#3CC80EFA",9,13
109,"#3CC853A7",7,16.5
110,"#3CC857A3",7,16.25
111,"#3CC9BA4F",7,13.5
112,"#3CC9F603",8,14.75
113,"#3CCA8375",8,12
114,"#3CCAAD5B",6,8
115,"#3CCB07F0",10,14.5
116,"#3CCBBD4A",8,12.5
117,"#3CCC09F9",7,7
118,"#3CCC19E9",6,5
119,"#3CCC1FEF",8,2.5
120,"#3CCCFD0D",8,9.5
121,"#3CCE07F5",5,NA
122,"#3CCED82A",6,2.5
123,"#3CD0618D",10,17
124,"#3CD0C62A",6,10.5
125,"#3CD755BE",8,16.5
126,"#3CD89A7E",8,6
127,"#3CDACF29",6,4.5
128,"#3CDC9373",8,12.5
129,"#3CDECB29",7,7
130,"#3CDF28CB",6,13.5
131,"#3CDF6182",8,17
132,"#3CE0B06C",6,17
133,"#3CE4FC24",8,11.5
134,"#3CE979AC",6,13.5
135,"#3CE9DB0E",6,15.25
136,"#3CF44E86",4,14
137,"#3CFB5493",6,5
138,"#3CFC8E4E",9,16
139,"#3D0781BB",7,15
140,"#3D07E1DB",6,9.75
141,"#3D0D2212",9,16.5
142,"#3D0D4474",5,11
143,"#3D0ECFFC",9,13.5
144,"#3D0ED2E1",8,14.75
145,"#3D10D4F9",8,17.5
146,"#3D12C0EF",9,15
147,"#3D12CFE0",9,16
148,"#3D136846",7,3
149,"#3D144861",8,7.5
150,"#3D1495BC",7,17.5
151,"#3D1498B1",5,11.5
152,"#3D150C24",11,14
153,"#3D15654D",10,17
154,"#3D15DDF5",7,7
155,"#3D15FFD7",NA,13.5
156,"#3D163318",4,2.5
157,"#3D1690BB",4,2
158,"#3D16CFE4",5,7
159,"#3D175B71",7,6.5
160,"#3D191C38",7,16.5
161,"#3D1987A3",7,10
162,"#3D19C1E5",6,15.75
163,"#3D19E7C3",7,1.5
164,"#3D1BEDCB",8,8
165,"#3D1BF8DE",11,17.5
166,"#3D1CEACB",9,17
167,"#3D20312C",7,13
168,"#3D69F1A5",6,16
169,"#3D6F6F3D",6,15
170,"#3D769DD6",5,4
171,"#3D784A0F",6,9.5
172,"#3D78ECA9",8,12
173,"#3D79D793",6,11.5
174,"#5EB8C62",7,15.5
175,"#7A2EC49",7,6.75
176,"#7B79222",9,14
177,"#7BA71CC",5,1
178,"#7DC0FD4",7,14.75
179,"#82D1732",8,13.75
180,"#8D3FB2",9,13.25
181,"#8D6EE3",5,6
182,"#913D9C3",9,8.5
183,"#A73295",7,11.5
184,"#AE53ED1",8,10.5
185,"#AF7A75A",8,15.25
186,"#DAA8522",9,8.5
187,"#DD974A",8,5
188,"#E32300C",9,10.25
189,"#E55560D",7,17
190,"#E7D037",8,15
191,"#E7D7201",6,5.5
